,10-Year Breakeven Inflation Rate,5-Year Breakeven Inflation Rate,Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity,Market Yield on U.S. Treasury Securities at 5-Year Constant Maturity,Market Yield on U.S. Treasury Securities at 2-Year Constant Maturity,Moodys Seasoned Aaa Corporate Bond Yield,Moodys Seasoned Baa Corporate Bond Yield,Unemployment Rate,S&P/Case-Shiller U.S. National Home Price Index,Export Price Index (End Use),Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,Median Consumer Price Index,Personal Consumption Expenditures,Total Public Construction Spending: Highway and Street in the United States,Total Private Construction Spending: Commercial in the United States,Population,Reserves of Depository Institutions: Total,Producer Price Index by Commodity: All Commodities,Real Disposable Personal Income,Personal Saving Rate,M1,M2,Real Disposable Personal Income: Per Capita,University of Michigan: Consumer Sentiment,S&P/Case-Shiller 20-City Composite Home Price Index,Total Vehicle Sales,Equity Market Volatility Tracker: Overall,Industrial Production: Total Index,Total Reserves excluding Gold for United States,Leading Indicators OECD: Reference series: Gross Domestic Product (GDP): Normalised for the United States,Global Economic Policy Uncertainty Index: PPP-Adjusted GDP,U.S. Dollars to Euro Spot Exchange Rate,U.S. Dollars to U.K. Pound Sterling Spot Exchange Rate,"Securities in Bank Credit, All Commercial Banks","Consumer Loans, All Commercial Banks","Total Assets, All Commercial Banks","Bank Credit, All Commercial Banks","Trade Balance: Goods and Services, Balance of Payments Basis",Brave-Butters-Kelley Real Gross Domestic Product,Index of Global Real Economic Activity,Passenger Car Registrations in United States
2015-12-01,1.51,1.24,2.24,1.7,0.98,3.97,5.46,5.0,175.13400000000001,119.8,237.761,1.83471969623819,12432.8,98691.0,3.2,323318.0,2481.2,183.5,13482.0,7.4,3095.8,12344.0,41699.0,92.6,183.824741120257,17.492,16.98362,98.8329,106539635766.333,100.058091619031,117.1772027,1.0889,1.4981,3110.5555,7.8,-0.4,8.9,-41003.0,2.2706503045615243,-110.65996,94.3221849904616
2015-12-02,1.51,1.24,2.24,1.7,0.98,3.97,5.46,5.0,175.13400000000001,119.8,237.761,1.83471969623819,12432.8,98691.0,3.2,323318.0,2481.2,183.5,13482.0,7.4,3095.8,12344.0,41699.0,92.6,183.824741120257,17.492,16.98362,98.8329,106539635766.333,100.058091619031,117.1772027,1.0889,1.4981,3110.5555,7.8,-0.4,8.9,-41003.0,2.2706503045615243,-110.65996,94.3221849904616
2015-12-03,1.51,1.24,2.24,1.7,0.98,3.97,5.46,5.0,175.13400000000001,119.8,237.761,1.83471969623819,12432.8,98691.0,3.2,323318.0,2481.2,183.5,13482.0,7.4,3095.8,12344.0,41699.0,92.6,183.824741120257,17.492,16.98362,98.8329,106539635766.333,100.058091619031,117.1772027,1.0889,1.4981,3110.5555,7.8,-0.4,8.9,-41003.0,2.2706503045615243,-110.65996,94.3221849904616
2015-12-04,1.51,1.24,2.24,1.7,0.98,3.97,5.46,5.0,175.13400000000001,119.8,237.761,1.83471969623819,12432.8,98691.0,3.2,323318.0,2481.2,183.5,13482.0,7.4,3095.8,12344.0,41699.0,92.6,183.824741120257,17.492,16.98362,98.8329,106539635766.333,100.058091619031,117.1772027,1.0889,1.4981,3110.5555,7.8,-0.4,8.9,-41003.0,2.2706503045615243,-110.65996,94.3221849904616
2015-12-05,1.51,1.24,2.24,1.7,0.98,3.97,5.46,5.0,175.13400000000001,119.8,237.761,1.83471969623819,12432.8,98691.0,3.2,323318.0,2481.2,183.5,13482.0,7.4,3095.8,12344.0,41699.0,92.6,183.824741120257,17.492,16.98362,98.8329,106539635766.333,100.058091619031,117.1772027,1.0889,1.4981,3110.5555,7.8,-0.4,8.9,-41003.0,2.2706503045615243,-110.65996,94.3221849904616
2015-12-06,1.51,1.24,2.24,1.7,0.98,3.97,5.46,5.0,175.13400000000001,119.8,237.761,1.83471969623819,12432.8,98691.0,3.2,323318.0,2481.2,183.5,13482.0,7.4,3095.8,12344.0,41699.0,92.6,183.824741120257,17.492,16.98362,98.8329,106539635766.333,100.058091619031,117.1772027,1.0889,1.4981,3110.5555,7.8,-0.4,8.9,-41003.0,2.2706503045615243,-110.65996,94.3221849904616
2015-12-07,1.51,1.24,2.24,1.7,0.98,3.97,5.46,5.0,175.13400000000001,119.8,237.761,1.83471969623819,12432.8,98691.0,3.2,323318.0,2481.2,183.5,13482.0,7.4,3095.8,12344.0,41699.0,92.6,183.824741120257,17.492,16.98362,98.8329,106539635766.333,100.058091619031,117.1772027,1.0889,1.4981,3110.5555,7.8,-0.4,8.9,-41003.0,2.2706503045615243,-110.65996,94.3221849904616
2015-12-08,1.51,1.24,2.24,1.7,0.98,3.97,5.46,5.0,175.13400000000001,119.8,237.761,1.83471969623819,12432.8,98691.0,3.2,323318.0,2481.2,183.5,13482.0,7.4,3095.8,12344.0,41699.0,92.6,183.824741120257,17.492,16.98362,98.8329,106539635766.333,100.058091619031,117.1772027,1.0889,1.4981,3110.5555,7.8,-0.4,8.9,-41003.0,2.2706503045615243,-110.65996,94.3221849904616
2015-12-09,1.51,1.24,2.24,1.7,0.98,3.97,5.46,5.0,175.13400000000001,119.8,237.761,1.83471969623819,12432.8,98691.0,3.2,323318.0,2481.2,183.5,13482.0,7.4,3095.8,12344.0,41699.0,92.6,183.824741120257,17.492,16.98362,98.8329,106539635766.333,100.058091619031,117.1772027,1.0889,1.4981,3110.5555,7.8,-0.4,8.9,-41003.0,2.2706503045615243,-110.65996,94.3221849904616
2015-12-10,1.51,1.24,2.24,1.7,0.98,3.97,5.46,5.0,175.13400000000001,119.8,237.761,1.83471969623819,12432.8,98691.0,3.2,323318.0,2481.2,183.5,13482.0,7.4,3095.8,12344.0,41699.0,92.6,183.824741120257,17.492,16.98362,98.8329,106539635766.333,100.058091619031,117.1772027,1.0889,1.4981,3110.5555,7.8,-0.4,8.9,-41003.0,2.2706503045615243,-110.65996,94.3221849904616
